__time,/joint_states/_MSG_INDEX_,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/theta1/effort,/joint_states/theta1/position,/joint_states/theta1/velocity,/joint_states/theta2/effort,/joint_states/theta2/position,/joint_states/theta2/velocity,/theta2_controller/command/_MSG_INDEX_,/theta2_controller/command/data
1645645507.192928,,,,,,,,,,7572.000000,0.638348
1645645507.193474,9154.000000,189160.000000,1645645507.193474,0.000000,0.000000,0.000000,-1.076000,-0.160684,-3.351032,,
1645645507.194280,,,,,,,,,,7573.000000,0.638348
1645645507.195464,9155.000000,189161.000000,1645645507.195464,0.000000,0.000000,0.000000,-1.077000,-0.171806,-3.560472,,
1645645507.196496,9156.000000,189162.000000,1645645507.196496,0.000000,0.000000,0.000000,-1.069000,-0.183694,-3.665191,,
1645645507.197023,,,,,,,,,,7574.000000,0.815610
1645645507.197465,9157.000000,189163.000000,1645645507.197465,0.000000,0.000000,0.000000,-1.074000,-0.195966,-3.874631,,
1645645507.198471,9158.000000,189164.000000,1645645507.198471,0.000000,0.000000,0.000000,-1.074000,-0.195966,-3.874631,,
1645645507.198671,,,,,,,,,,7575.000000,0.815610
1645645507.198955,,,,,,,,,,7576.000000,0.815610
1645645507.200433,9159.000000,189165.000000,1645645507.200433,0.000000,0.000000,0.000000,-1.079000,-0.208621,-4.084070,,
1645645507.201470,9160.000000,189166.000000,1645645507.201470,0.000000,0.000000,0.000000,-1.086000,-0.221660,-4.293510,,
1645645507.201914,,,,,,,,,,7577.000000,0.870451
1645645507.202499,9161.000000,189167.000000,1645645507.202499,0.000000,0.000000,0.000000,-1.086000,-0.221660,-4.293510,,
1645645507.203499,9162.000000,189168.000000,1645645507.203499,0.000000,0.000000,0.000000,-1.087000,-0.234699,-4.502949,,
1645645507.204729,,,,,,,,,,7578.000000,0.887993
1645645507.204839,,,,,,,,,,7579.000000,0.887993
1645645507.205113,,,,,,,,,,7580.000000,0.887993
1645645507.205467,9163.000000,189169.000000,1645645507.205467,0.000000,0.000000,0.000000,-1.088000,-0.255791,-4.712389,,
1645645507.206586,9164.000000,189170.000000,1645645507.206586,0.000000,0.000000,0.000000,-1.100000,-0.269597,-5.026548,,
1645645507.207481,,,,,,,,,,7581.000000,0.887993
1645645507.207497,9165.000000,189171.000000,1645645507.207497,0.000000,0.000000,0.000000,-1.100000,-0.269597,-5.026548,,
1645645507.208472,9166.000000,189172.000000,1645645507.208472,0.000000,0.000000,0.000000,-1.101000,-0.283403,-5.131268,,
1645645507.209942,,,,,,,,,,7582.000000,0.896163
1645645507.210481,9167.000000,189173.000000,1645645507.210481,0.000000,0.000000,0.000000,-1.092000,-0.290689,-5.235988,,
1645645507.210644,,,,,,,,,,7583.000000,0.896163
1645645507.211483,9168.000000,189174.000000,1645645507.211483,0.000000,0.000000,0.000000,-1.090000,-0.305262,-5.445427,,
1645645507.212485,9169.000000,189175.000000,1645645507.212485,0.000000,0.000000,0.000000,-1.092000,-0.319835,-5.550147,,
1645645507.212543,,,,,,,,,,7584.000000,0.882296
1645645507.213115,,,,,,,,,,7585.000000,0.882296
1645645507.213484,9170.000000,189176.000000,1645645507.213484,0.000000,0.000000,0.000000,-1.095000,-0.327505,-5.654867,,
1645645507.214793,,,,,,,,,,7586.000000,0.882296
1645645507.215471,9171.000000,189177.000000,1645645507.215471,0.000000,0.000000,0.000000,-1.094000,-0.342845,-5.864306,,
1645645507.216490,9172.000000,189178.000000,1645645507.216490,0.000000,0.000000,0.000000,-1.098000,-0.358185,-6.178466,,
1645645507.217479,9173.000000,189179.000000,1645645507.217479,0.000000,0.000000,0.000000,-1.097000,-0.372757,-6.178466,,
1645645507.218118,,,,,,,,,,7587.000000,0.850634
1645645507.218477,9174.000000,189180.000000,1645645507.218477,0.000000,0.000000,0.000000,-1.097000,-0.372757,-6.178466,,
1645645507.219589,,,,,,,,,,7588.000000,0.850634
1645645507.220234,,,,,,,,,,7589.000000,0.850634
1645645507.220505,9175.000000,189181.000000,1645645507.220505,0.000000,0.000000,0.000000,-1.095000,-0.396918,-6.597345,,
1645645507.221503,9176.000000,189182.000000,1645645507.221503,0.000000,0.000000,0.000000,-1.095000,-0.396918,-6.597345,,
1645645507.222487,9177.000000,189183.000000,1645645507.222487,0.000000,0.000000,0.000000,-1.094000,-0.413408,-6.702064,,
1645645507.222700,,,,,,,,,,7590.000000,0.820153
1645645507.223505,9178.000000,189184.000000,1645645507.223505,0.000000,0.000000,0.000000,-1.094000,-0.413408,-6.702064,,
1645645507.223811,,,,,,,,,,7591.000000,0.820153
1645645507.225471,9179.000000,189185.000000,1645645507.225471,0.000000,0.000000,0.000000,-1.090000,-0.447155,-7.016224,,
1645645507.225548,,,,,,,,,,7592.000000,0.820153
1645645507.226496,9180.000000,189186.000000,1645645507.226496,0.000000,0.000000,0.000000,-1.084000,-0.455592,-7.120943,,
1645645507.227489,9181.000000,189187.000000,1645645507.227489,0.000000,0.000000,0.000000,-1.084000,-0.455592,-7.120943,,
1645645507.228481,9182.000000,189188.000000,1645645507.228481,0.000000,0.000000,0.000000,-1.084000,-0.455592,-7.120943,,
1645645507.229923,,,,,,,,,,7593.000000,0.774746
1645645507.230508,9183.000000,189189.000000,1645645507.230508,0.000000,0.000000,0.000000,-1.080000,-0.473233,-7.330383,,
1645645507.230835,,,,,,,,,,7594.000000,0.774746
1645645507.231474,9184.000000,189190.000000,1645645507.231474,0.000000,0.000000,0.000000,-1.081000,-0.508131,-7.749262,,
1645645507.232472,9185.000000,189191.000000,1645645507.232472,0.000000,0.000000,0.000000,-1.086000,-0.536893,-7.958701,,
1645645507.233503,9186.000000,189192.000000,1645645507.233503,0.000000,0.000000,0.000000,-1.086000,-0.536893,-7.958701,,
1645645507.233543,,,,,,,,,,7595.000000,0.770563
1645645507.233877,,,,,,,,,,7596.000000,0.770563
1645645507.234176,,,,,,,,,,7597.000000,0.770563
1645645507.235470,,,,,,,,,,7598.000000,0.770563
1645645507.235484,9187.000000,189193.000000,1645645507.235484,0.000000,0.000000,0.000000,-1.099000,-0.546097,-8.063421,,
1645645507.236746,9188.000000,189194.000000,1645645507.236746,0.000000,0.000000,0.000000,-1.103000,-0.574859,-8.377580,,
1645645507.237472,9189.000000,189195.000000,1645645507.237472,0.000000,0.000000,0.000000,-1.103000,-0.574859,-8.377580,,
1645645507.238234,,,,,,,,,,7599.000000,0.721023
1645645507.238478,9190.000000,189196.000000,1645645507.238478,0.000000,0.000000,0.000000,-1.099000,-0.594418,-8.482300,,
1645645507.238867,,,,,,,,,,7600.000000,0.721023
1645645507.239220,,,,,,,,,,7601.000000,0.721023
1645645507.240470,9191.000000,189197.000000,1645645507.240470,0.000000,0.000000,0.000000,-1.112000,-0.623947,-8.901179,,
1645645507.241112,,,,,,,,,,7602.000000,0.707856
1645645507.241483,9192.000000,189198.000000,1645645507.241483,0.000000,0.000000,0.000000,-1.112000,-0.623947,-8.901179,,
1645645507.241504,,,,,,,,,,7603.000000,0.707856
1645645507.242468,9193.000000,189199.000000,1645645507.242468,0.000000,0.000000,0.000000,-1.117000,-0.644655,-9.005899,,
